guest_name,episode_count,sample_title,guest_style
Michael Shermer,1,"Michael Shermer: ""Regulation Is Not the Answer to Big Tech Censorship""",
Mike Baker,1,CIA Agent - Is This How Israel-Palestine Ends? - Mike Baker,
Mike Driver,1,Mike Driver on the Entrepreneurial Mindset and the Futility of Predictions,
Peter Whittle,1,Immigration is the Most Important Issue We Face - Peter Whittle,
Rikki Schlott,1,What’s REALLY Happening on College Campuses - Rikki Schlott,
Prof Ali Ansari,1,Iranian Historian Breaks Down Iran Protests - Prof Ali Ansari,
Trauma Expert,1,Trauma Expert: Why We Celebrate Weakness Instead of Strength,
Toxic Empathy,1,Toxic Empathy on social media is Poisoning our Kids... #shorts #culture #socialmedia #psychology,
Tom Stade,1,"Tom Stade: ""I've Had Enough of the Joke Police!""",
Tom Latchem,1,"""Journalism Is in Crisis"" - Tom Latchem",
Tom Holland,1,Tom Holland on the Great Awokening,
Tom Cooper,1,Is Ukraine Winning? - Tom Cooper,
Tom Bilyeu,1,Tom Bilyeu: Why Tension Between Both Sides is NEEDED,
Tim Urban,1,How the Media Creates Delusional Tribes - Tim Urban,
Tim Stanley,1,Why Are We Fighting a War on the Past? - Tim Stanley,
Theo Von,1,Theo Von: I Used Comedy to Change My Life,
Their Parents,1,42% of UK Young Adults Still Live with Their Parents,
The West's War On Masculinity,1,Konstantin Kisin - The West's War On Masculinity,
The Truth About Social Media,1,Jaron Lanier - The Truth About Social Media,
The Truth About Drugs,1,David Nutt - The Truth About Drugs,
The Truth About Crime,1,Theodore Dalrymple - The Truth About Crime,
The Party,1,"""The Labour Leadership Contest is Everything That's Wrong With The Party""",
The New Olympic Sport,1,Men vs. Women - The New Olympic Sport,
Surfshark,1,Why We Stopped Working With Surfshark,
Trans Woman,1,"Trans Woman: ""We Don't Belong in Female Sports""",
Trevor Phillips,1,"Trevor Phillips: ""We Live in the Age of Gangster Politics""",
Steven Woolfe,1,"Steven Woolfe: ""Immigration is Out of Control""",
Trump Assassination,1,Trump Assassination: Why I'm Not Surprised - Konstantin Kisin,
Yasmine Mohammed,1,"""The West Must Defend Itself"" - Yasmine Mohammed",
Yascha Mounk,1,Can Democracy Survive Identity Politics? With Yascha Mounk,
Woke Passenger Mutiny,1,Woke Passenger Mutiny on Airplane Gone WRONG - Konstantin Kisin,
